Country or Area,Item,Year,Value
"Korea, Dem. People's Rep.",GDP per capita (current US$),2019,
"Korea, Dem. People's Rep.",GDP per capita (current US$),2020,
Portugal,GDP per capita (current US$),2018,23551.0482905614
Portugal,GDP per capita (current US$),2019,23284.5272329002
Portugal,GDP per capita (current US$),2020,22439.8768739626
Paraguay,GDP per capita (current US$),2018,5782.78454981286
Paraguay,GDP per capita (current US$),2019,5380.9633218413
Paraguay,GDP per capita (current US$),2020,4949.74970033259
West Bank and Gaza,GDP per capita (current US$),2018,3562.33094270256
West Bank and Gaza,GDP per capita (current US$),2019,3656.85827137011
West Bank and Gaza,GDP per capita (current US$),2020,3239.73110812657
Pacific island small states,GDP per capita (current US$),2018,4336.98530791452
Pacific island small states,GDP per capita (current US$),2019,4268.83831291979
Pacific island small states,GDP per capita (current US$),2020,3626.29058943536
Post-demographic dividend,GDP per capita (current US$),2018,45364.5841796031
Post-demographic dividend,GDP per capita (current US$),2019,45650.1402680141
Post-demographic dividend,GDP per capita (current US$),2020,44217.8972260676
French Polynesia,GDP per capita (current US$),2018,
French Polynesia,GDP per capita (current US$),2019,
French Polynesia,GDP per capita (current US$),2020,
Qatar,GDP per capita (current US$),2018,65907.9484330735
Qatar,GDP per capita (current US$),2019,62087.9741348946
Qatar,GDP per capita (current US$),2020,50805.4635677532
Romania,GDP per capita (current US$),2018,12398.9819787666
Romania,GDP per capita (current US$),2019,12889.8096111492
Romania,GDP per capita (current US$),2020,12896.0886211622
Russian Federation,GDP per capita (current US$),2018,11287.3552780815
Russian Federation,GDP per capita (current US$),2019,11497.6492498593
Russian Federation,GDP per capita (current US$),2020,10126.7217935297
Rwanda,GDP per capita (current US$),2018,783.637162814808
Rwanda,GDP per capita (current US$),2019,820.149288558594
Rwanda,GDP per capita (current US$),2020,797.855554346228
South Asia,GDP per capita (current US$),2018,1894.16909298831
South Asia,GDP per capita (current US$),2019,1959.34225646867
South Asia,GDP per capita (current US$),2020,1804.91762262971
Saudi Arabia,GDP per capita (current US$),2018,23337.0175494347
Saudi Arabia,GDP per capita (current US$),2019,23139.7979808237
Saudi Arabia,GDP per capita (current US$),2020,20110.3161923744
Sudan,GDP per capita (current US$),2018,825.868941119235
Sudan,GDP per capita (current US$),2019,753.282174142999
Sudan,GDP per capita (current US$),2020,595.467833007679
Senegal,GDP per capita (current US$),2018,1458.06909258145
Senegal,GDP per capita (current US$),2019,1430.14825900162
Senegal,GDP per capita (current US$),2020,1487.7573088192
Singapore,GDP per capita (current US$),2018,66679.0464899752
Singapore,GDP per capita (current US$),2019,65640.7079484985
Singapore,GDP per capita (current US$),2020,59797.7521801188
Solomon Islands,GDP per capita (current US$),2018,2411.86292635277
Solomon Islands,GDP per capita (current US$),2019,2344.23163406448
Solomon Islands,GDP per capita (current US$),2020,2258.40036455455
Sierra Leone,GDP per capita (current US$),2018,533.991533265984
Sierra Leone,GDP per capita (current US$),2019,527.534174544671
Sierra Leone,GDP per capita (current US$),2020,484.521267483585
El Salvador,GDP per capita (current US$),2018,4052.62477533742
El Salvador,GDP per capita (current US$),2019,4167.73093878563
El Salvador,GDP per capita (current US$),2020,3798.63652082321
San Marino,GDP per capita (current US$),2018,48996.592248824
San Marino,GDP per capita (current US$),2019,47731.2085399347
San Marino,GDP per capita (current US$),2020,
Somalia,GDP per capita (current US$),2018,314.542677978565
Somalia,GDP per capita (current US$),2019,320.03814830565
Somalia,GDP per capita (current US$),2020,309.415454618032
Serbia,GDP per capita (current US$),2018,7252.40185773992
Serbia,GDP per capita (current US$),2019,7411.55864879005
Serbia,GDP per capita (current US$),2020,7666.24447595921
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2018,1595.4964951506
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2019,1597.72750280511
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2020,1482.9095943257
South Sudan,GDP per capita (current US$),2018,
South Sudan,GDP per capita (current US$),2019,
South Sudan,GDP per capita (current US$),2020,
Sub-Saharan Africa,GDP per capita (current US$),2018,1596.82525070156
Sub-Saharan Africa,GDP per capita (current US$),2019,1599.01596590589
Sub-Saharan Africa,GDP per capita (current US$),2020,1483.7695656434
Small states,GDP per capita (current US$),2018,13040.5377262797
Small states,GDP per capita (current US$),2019,12622.5289056253
Small states,GDP per capita (current US$),2020,10864.0078007799
Sao Tome and Principe,GDP per capita (current US$),2018,1953.5132573676
Sao Tome and Principe,GDP per capita (current US$),2019,1987.57970166818
Sao Tome and Principe,GDP per capita (current US$),2020,2157.84044569668
Suriname,GDP per capita (current US$),2018,6938.08698147294
Suriname,GDP per capita (current US$),2019,7261.16560953824
Suriname,GDP per capita (current US$),2020,6491.13906538498
Slovak Republic,GDP per capita (current US$),2018,19364.6201036458
Slovak Republic,GDP per capita (current US$),2019,19273.2539541229
Slovak Republic,GDP per capita (current US$),2020,19156.8896116995
Slovenia,GDP per capita (current US$),2018,26103.1602597884
Slovenia,GDP per capita (current US$),2019,25940.728030936
Slovenia,GDP per capita (current US$),2020,25179.6671722936
Sweden,GDP per capita (current US$),2018,54589.0603860606
Sweden,GDP per capita (current US$),2019,51686.8513545938
Sweden,GDP per capita (current US$),2020,51925.7137596385
Eswatini,GDP per capita (current US$),2018,4105.89721234628
Eswatini,GDP per capita (current US$),2019,3894.66963029858
Eswatini,GDP per capita (current US$),2020,3415.45944624473
Sint Maarten (Dutch part),GDP per capita (current US$),2018,29160.1038110689
Sint Maarten (Dutch part),GDP per capita (current US$),2019,
Sint Maarten (Dutch part),GDP per capita (current US$),2020,
Seychelles,GDP per capita (current US$),2018,16390.8249080053
Seychelles,GDP per capita (current US$),2019,16198.5174764957
Seychelles,GDP per capita (current US$),2020,11425.0929292519
Syrian Arab Republic,GDP per capita (current US$),2018,
Syrian Arab Republic,GDP per capita (current US$),2019,
Syrian Arab Republic,GDP per capita (current US$),2020,
Turks and Caicos Islands,GDP per capita (current US$),2018,29553.1366979053
Turks and Caicos Islands,GDP per capita (current US$),2019,31350.8666282662
Turks and Caicos Islands,GDP per capita (current US$),2020,23879.9266491038
Chad,GDP per capita (current US$),2018,726.151007088549
Chad,GDP per capita (current US$),2019,709.54004317463
Chad,GDP per capita (current US$),2020,614.465189935689
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2018,8051.81254849733
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2019,8280.23469622092
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),2020,8378.63093968804
Europe & Central Asia (IDA & IBRD countries),GDP per capita (current US$),2018,8868.02880999417
Europe & Central Asia (IDA & IBRD countries),GDP per capita (current US$),2019,9002.29760099665
Europe & Central Asia (IDA & IBRD countries),GDP per capita (current US$),2020,8368.47661646182
Togo,GDP per capita (current US$),2018,901.523016898937
Togo,GDP per capita (current US$),2019,893.352454121675
Togo,GDP per capita (current US$),2020,914.950582595136
Thailand,GDP per capita (current US$),2018,7296.87960772339
Thailand,GDP per capita (current US$),2019,7817.01152157855
Thailand,GDP per capita (current US$),2020,7189.04183501668
Tajikistan,GDP per capita (current US$),2018,853.218873401321
Tajikistan,GDP per capita (current US$),2019,890.544402355733
Tajikistan,GDP per capita (current US$),2020,859.137961121368
Turkmenistan,GDP per capita (current US$),2018,6967.37504258806
Turkmenistan,GDP per capita (current US$),2019,7612.03518009452
Turkmenistan,GDP per capita (current US$),2020,
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2018,9001.31013497115
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2019,8776.74823247104
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),2020,7244.55556894082
Timor-Leste,GDP per capita (current US$),2018,1230.22528046689
Timor-Leste,GDP per capita (current US$),2019,1560.50861482306
Timor-Leste,GDP per capita (current US$),2020,1381.17566036276
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2018,3500.2621536211
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2019,3504.71474518657
Middle East & North Africa (IDA & IBRD countries),GDP per capita (current US$),2020,3063.18956429809
Tonga,GDP per capita (current US$),2018,4740.70027224476
Tonga,GDP per capita (current US$),2019,4903.01213835449
Tonga,GDP per capita (current US$),2020,
South Asia (IDA & IBRD),GDP per capita (current US$),2018,1894.16909298831
South Asia (IDA & IBRD),GDP per capita (current US$),2019,1959.34225646867
South Asia (IDA & IBRD),GDP per capita (current US$),2020,1804.91762262971
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2018,1596.82525070156
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2019,1599.01596590589
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2020,1483.7695656434
Trinidad and Tobago,GDP per capita (current US$),2018,17037.8623561897
Trinidad and Tobago,GDP per capita (current US$),2019,16637.1629387697
Trinidad and Tobago,GDP per capita (current US$),2020,15384.0394609875
Tunisia,GDP per capita (current US$),2018,3438.80506664387
Tunisia,GDP per capita (current US$),2019,3351.57344330192
Tunisia,GDP per capita (current US$),2020,3319.81902353323
Turkey,GDP per capita (current US$),2018,9453.19617174191
Turkey,GDP per capita (current US$),2019,9126.59439195453
Turkey,GDP per capita (current US$),2020,8538.16905982745
Tuvalu,GDP per capita (current US$),2018,3701.70925450693
Tuvalu,GDP per capita (current US$),2019,4055.89560959738
Tuvalu,GDP per capita (current US$),2020,4143.10975263011
Tanzania,GDP per capita (current US$),2018,1042.83875856619
Tanzania,GDP per capita (current US$),2019,1085.88486100047
Tanzania,GDP per capita (current US$),2020,1076.47038455352
Uganda,GDP per capita (current US$),2018,770.257060149182
Uganda,GDP per capita (current US$),2019,794.451445432797
Uganda,GDP per capita (current US$),2020,817.035756926923
Ukraine,GDP per capita (current US$),2018,3096.81740221352
Ukraine,GDP per capita (current US$),2019,3662.56308679667
Ukraine,GDP per capita (current US$),2020,3726.92714937055
Upper middle income,GDP per capita (current US$),2018,9483.69330620773
Upper middle income,GDP per capita (current US$),2019,9589.0378735037
Upper middle income,GDP per capita (current US$),2020,9191.68073255036
Uruguay,GDP per capita (current US$),2018,18703.8602924478
Uruguay,GDP per capita (current US$),2019,17688.01500769
Uruguay,GDP per capita (current US$),2020,15438.4116657291
United States,GDP per capita (current US$),2018,63064.4184096731
United States,GDP per capita (current US$),2019,65279.5290260953
United States,GDP per capita (current US$),2020,63543.577788724
Uzbekistan,GDP per capita (current US$),2018,1529.08286351335
Uzbekistan,GDP per capita (current US$),2019,1719.05721009222
Uzbekistan,GDP per capita (current US$),2020,1685.76494675082
St. Vincent and the Grenadines,GDP per capita (current US$),2018,7361.4009618002
St. Vincent and the Grenadines,GDP per capita (current US$),2019,7457.23977574095
St. Vincent and the Grenadines,GDP per capita (current US$),2020,7297.9123498741
"Venezuela, RB",GDP per capita (current US$),2018,
"Venezuela, RB",GDP per capita (current US$),2019,
"Venezuela, RB",GDP per capita (current US$),2020,
British Virgin Islands,GDP per capita (current US$),2018,
British Virgin Islands,GDP per capita (current US$),2019,
British Virgin Islands,GDP per capita (current US$),2020,
Virgin Islands (U.S.),GDP per capita (current US$),2018,37233.2968850758
Virgin Islands (U.S.),GDP per capita (current US$),2019,
Virgin Islands (U.S.),GDP per capita (current US$),2020,
Vietnam,GDP per capita (current US$),2018,2566.4474870063
Vietnam,GDP per capita (current US$),2019,2715.27598010995
Vietnam,GDP per capita (current US$),2020,2785.724156875
Vanuatu,GDP per capita (current US$),2018,3125.40499918952
Vanuatu,GDP per capita (current US$),2019,3102.34678986227
Vanuatu,GDP per capita (current US$),2020,2782.98434037313
World,GDP per capita (current US$),2018,11372.2478185663
World,GDP per capita (current US$),2019,11417.1550235316
World,GDP per capita (current US$),2020,10925.7278501486
Samoa,GDP per capita (current US$),2018,4188.57105832
Samoa,GDP per capita (current US$),2019,4324.10177421565
Samoa,GDP per capita (current US$),2020,4067.47262951152
Kosovo,GDP per capita (current US$),2018,4419.91432698449
Kosovo,GDP per capita (current US$),2019,4445.89070247935
Kosovo,GDP per capita (current US$),2020,4287.20090326802
"Yemen, Rep.",GDP per capita (current US$),2018,824.117717965627
"Yemen, Rep.",GDP per capita (current US$),2019,
"Yemen, Rep.",GDP per capita (current US$),2020,
South Africa,GDP per capita (current US$),2018,6372.60565499345
South Africa,GDP per capita (current US$),2019,6001.4011214068
South Africa,GDP per capita (current US$),2020,5090.71502455292
Zambia,GDP per capita (current US$),2018,1516.37110009154
Zambia,GDP per capita (current US$),2019,1305.00221354087
Zambia,GDP per capita (current US$),2020,1050.91928305741
Zimbabwe,GDP per capita (current US$),2018,1352.16265310562
